dn_id,invoice_id,customer_id,delivery_date,delivery_method,dn_return_date,status_dn,customer_name,customer_type,region,alamat,payment_terms,customer_status
DN240139,009639,RSP016,2024-07-10,Internal,,Pending,RSUD Novitasari,RS Pemerintah,Depok,"Jl. Setiabudhi No. 25, Kota Administrasi Jakarta Utara, Jawa Timur 39639",NET 45,Active
DN240140,009640,RSP049,2024-11-01,Third-Party Courier,,Pending,RSUD Gunarto,RS Pemerintah,Jakarta Selatan,"Gg. M.T Haryono No. 2, Bogor, Kalimantan Timur 11787",NET 45,Active
DN240141,009641,RSS003,2024-03-10,Third-Party Courier,2024-03-19,Received,RS Dongoran,RS Swasta,Bekasi,"Jl. Jend. Sudirman No. 6, Dumai, Sumatera Barat 48478",NET 30,Active
DN240142,009642,RSS008,2024-04-25,Internal,2024-05-01,Received,RS Dabukke,RS Swasta,Jakarta Selatan,"Gg. Dr. Djunjunan No. 5, Kediri, LA 93848",NET 30,Active
DN240143,009643,KLN004,2024-12-20,Internal,2024-12-23,Received,Klinik Wibisono,Klinik,Jakarta Pusat,"Jalan PHH. Mustofa No. 7, Tomohon, GO 67022",NET 30,Active
DN240144,009644,RSS074,2024-09-29,Internal,2024-10-01,Received,RS Prastuti,RS Swasta,Jakarta Selatan,"Gang Kiaracondong No. 5, Blitar, Bengkulu 86563",NET 30,Active
DN240145,009645,RSP009,2024-08-01,Third-Party Courier,2024-08-08,Received,RSUD Hutagalung,RS Pemerintah,Tangerang,"Gg. Sukajadi No. 47, Padang, Kepulauan Riau 64722",NET 45,Active
DN240146,009646,RSS034,2024-11-29,Internal,,Pending,RS Namaga,RS Swasta,Depok,"Gg. Suniaraja No. 5, Bima, ST 29799",NET 30,Active
DN240147,009647,RSS034,2024-11-27,Third-Party Courier,2024-12-18,Late,RS Namaga,RS Swasta,Depok,"Gg. Suniaraja No. 5, Bima, ST 29799",NET 30,Active
DN240148,009648,KLN022,2024-01-20,Internal,2024-01-23,Received,Klinik Pratama,Klinik,Depok,"Gang Jend. Sudirman No. 9, Bau-Bau, SB 13344",NET 30,Active
DN240149,009649,RSS057,2024-10-22,Third-Party Courier,2024-10-24,Received,RS Wijaya,RS Swasta,Tangerang,"Jl. Ir. H. Djuanda No. 5, Kota Administrasi Jakarta Barat, JB 57378",NET 30,Active
DN240150,009650,KLN043,2024-10-13,Third-Party Courier,2024-10-31,Late,Klinik Suwarno,Klinik,Jakarta Barat,"Jl. Stasiun Wonokromo No. 6, Banda Aceh, KS 32906",NET 30,Active
DN240151,009651,KLN005,2024-08-31,Third-Party Courier,2024-09-26,Late,Klinik Kuswandari,Klinik,Bogor,"Jl. Jend. Sudirman No. 49, Tanjungpinang, KR 36878",NET 30,Active
DN240152,009652,RSP020,2024-06-21,Internal,2024-07-01,Received,RSUD Mardhiyah,RS Pemerintah,Bekasi,"Jl. Cempaka No. 6, Depok, Sulawesi Barat 80597",NET 45,Active
DN240153,009653,KLN062,2024-08-01,Third-Party Courier,2024-09-09,Late,Klinik Napitupulu,Klinik,Jakarta Pusat,"Jalan Jend. Sudirman No. 67, Kota Administrasi Jakarta Utara, BB 33751",NET 30,Active
DN240154,009654,KLN027,2024-12-26,Internal,2024-12-29,Received,Klinik Saragih,Klinik,Jakarta Timur,"Jalan K.H. Wahid Hasyim No. 1, Lhokseumawe, Nusa Tenggara Barat 63992",NET 30,Active
DN240155,009655,KLN027,2024-12-26,Internal,2025-01-02,Received,Klinik Saragih,Klinik,Jakarta Timur,"Jalan K.H. Wahid Hasyim No. 1, Lhokseumawe, Nusa Tenggara Barat 63992",NET 30,Active
DN240156,009656,RSP019,2024-04-24,Third-Party Courier,2024-05-29,Late,RSUD Mulyani,RS Pemerintah,Tangerang,"Gg. R.E Martadinata No. 45, Payakumbuh, PB 01126",NET 45,Active
DN240157,009657,RSP019,2024-04-25,Third-Party Courier,2024-04-27,Received,RSUD Mulyani,RS Pemerintah,Tangerang,"Gg. R.E Martadinata No. 45, Payakumbuh, PB 01126",NET 45,Active
DN240158,009658,RSP017,2024-07-18,Internal,2024-07-20,Received,RSUD Prasetya,RS Pemerintah,Jakarta Barat,"Jalan Bangka Raya No. 3, Sawahlunto, NB 00153",NET 45,Active
DN240159,009659,KLN028,2024-02-19,Internal,2024-02-25,Received,Klinik Hutagalung,Klinik,Jakarta Pusat,"Jalan Cihampelas No. 73, Prabumulih, SN 12252",NET 30,Active
DN240160,009660,KLN028,2024-02-16,Internal,2024-02-18,Received,Klinik Hutagalung,Klinik,Jakarta Pusat,"Jalan Cihampelas No. 73, Prabumulih, SN 12252",NET 30,Active
DN240161,009661,KLN041,2024-04-27,Internal,2024-05-02,Received,Klinik Suryatmi,Klinik,Jakarta Timur,"Gang Tubagus Ismail No. 80, Pariaman, MU 03775",NET 30,Active
DN240162,009662,KLN016,2024-09-13,Internal,2024-09-17,Received,Klinik Wasita,Klinik,Jakarta Selatan,"Gang Sukajadi No. 69, Palopo, Nusa Tenggara Barat 36878",NET 30,Active
DN240163,009663,KLN016,2024-09-12,Internal,2024-09-18,Received,Klinik Wasita,Klinik,Jakarta Selatan,"Gang Sukajadi No. 69, Palopo, Nusa Tenggara Barat 36878",NET 30,Active
DN240164,009664,RSP019,2024-06-19,Internal,2024-06-21,Received,RSUD Mulyani,RS Pemerintah,Tangerang,"Gg. R.E Martadinata No. 45, Payakumbuh, PB 01126",NET 45,Active
DN240165,009665,RSP035,2024-12-26,Third-Party Courier,2025-01-02,Received,RSUD Budiman,RS Pemerintah,Jakarta Utara,"Gang Suryakencana No. 9, Bontang, Sulawesi Tenggara 67456",NET 45,Active
DN240166,009666,RSP035,2024-12-28,Internal,2024-12-30,Received,RSUD Budiman,RS Pemerintah,Jakarta Utara,"Gang Suryakencana No. 9, Bontang, Sulawesi Tenggara 67456",NET 45,Active
DN240167,009667,KLN015,2024-01-28,Third-Party Courier,,Pending,Klinik Adriansyah,Klinik,Bekasi,"Gg. Cempaka No. 2, Banda Aceh, PB 47514",NET 30,Active
DN240168,009668,KLN028,2024-01-14,Third-Party Courier,2024-02-24,Late,Klinik Hutagalung,Klinik,Jakarta Pusat,"Jalan Cihampelas No. 73, Prabumulih, SN 12252",NET 30,Active
DN240169,009669,KLN028,2024-01-15,Internal,2024-01-25,Received,Klinik Hutagalung,Klinik,Jakarta Pusat,"Jalan Cihampelas No. 73, Prabumulih, SN 12252",NET 30,Active
DN240170,009670,RSS047,2024-10-22,Internal,2024-10-25,Received,RS Yolanda,RS Swasta,Depok,"Jl. Setiabudhi No. 85, Surakarta, Maluku Utara 60761",NET 30,Active
DN240171,009671,RSP017,2024-09-02,Internal,2024-09-04,Received,RSUD Prasetya,RS Pemerintah,Jakarta Barat,"Jalan Bangka Raya No. 3, Sawahlunto, NB 00153",NET 45,Active
DN240172,009672,RSP017,2024-09-02,Internal,2024-09-07,Received,RSUD Prasetya,RS Pemerintah,Jakarta Barat,"Jalan Bangka Raya No. 3, Sawahlunto, NB 00153",NET 45,Active
DN240173,009673,RSS054,2024-10-15,Third-Party Courier,2024-10-19,Received,RS Maryadi,RS Swasta,Depok,"Jl. Ahmad Yani No. 313, Bengkulu, KB 01055",NET 30,Active
DN240174,009674,KLN061,2024-03-05,Third-Party Courier,,Pending,Klinik Purwanti,Klinik,Tangerang,"Jl. Cihampelas No. 089, Kota Administrasi Jakarta Pusat, RI 44982",NET 30,Active
DN240175,009675,KLN061,2024-03-04,Third-Party Courier,2024-03-14,Received,Klinik Purwanti,Klinik,Tangerang,"Jl. Cihampelas No. 089, Kota Administrasi Jakarta Pusat, RI 44982",NET 30,Active
DN240176,009676,RSS074,2024-08-04,Third-Party Courier,2024-09-13,Late,RS Prastuti,RS Swasta,Jakarta Selatan,"Gang Kiaracondong No. 5, Blitar, Bengkulu 86563",NET 30,Active
DN240177,009677,KLN057,2024-05-18,Third-Party Courier,,Pending,Klinik Prakasa,Klinik,Jakarta Pusat,"Gg. Moch. Ramdan No. 30, Malang, MU 91208",NET 30,Active
DN240178,009678,RSP050,2024-06-06,Third-Party Courier,2024-06-15,Received,RSUD Mulyani,RS Pemerintah,Jakarta Pusat,"Jalan Pacuan Kuda No. 8, Padang Sidempuan, KS 08991",NET 45,Active
DN240179,009679,RSP050,2024-06-07,Internal,2024-06-11,Received,RSUD Mulyani,RS Pemerintah,Jakarta Pusat,"Jalan Pacuan Kuda No. 8, Padang Sidempuan, KS 08991",NET 45,Active
DN240180,009680,RSP019,2024-09-30,Third-Party Courier,2024-10-05,Received,RSUD Mulyani,RS Pemerintah,Tangerang,"Gg. R.E Martadinata No. 45, Payakumbuh, PB 01126",NET 45,Active
DN240181,009681,RSP019,2024-09-28,Internal,2024-10-04,Received,RSUD Mulyani,RS Pemerintah,Tangerang,"Gg. R.E Martadinata No. 45, Payakumbuh, PB 01126",NET 45,Active
DN240182,009682,KLN005,2024-12-21,Third-Party Courier,2024-12-23,Received,Klinik Kuswandari,Klinik,Bogor,"Jl. Jend. Sudirman No. 49, Tanjungpinang, KR 36878",NET 30,Active
DN240183,009683,KLN005,2024-12-21,Third-Party Courier,2024-12-29,Received,Klinik Kuswandari,Klinik,Bogor,"Jl. Jend. Sudirman No. 49, Tanjungpinang, KR 36878",NET 30,Active
DN240184,009684,RSP003,2024-07-01,Internal,2024-08-04,Late,RSUD Marbun,RS Pemerintah,Bekasi,"Jl. Pasir Koja No. 7, Kota Administrasi Jakarta Selatan, Sulawesi Utara 97492",NET 45,Active
DN240185,009685,RSP003,2024-07-01,Third-Party Courier,2024-08-09,Late,RSUD Marbun,RS Pemerintah,Bekasi,"Jl. Pasir Koja No. 7, Kota Administrasi Jakarta Selatan, Sulawesi Utara 97492",NET 45,Active
DN240186,009686,KLN055,2024-12-06,Third-Party Courier,2025-01-01,Late,Klinik Fujiati,Klinik,Bekasi,"Gg. KH Amin Jasuta No. 19, Palembang, NB 00845",NET 30,Active
DN240187,009687,RSS011,2024-06-28,Third-Party Courier,2024-07-05,Received,RS Halim,RS Swasta,Jakarta Timur,"Jalan S. Parman No. 40, Binjai, DI Yogyakarta 18640",NET 30,Active
DN240188,009688,RSS058,2024-12-05,Internal,2024-12-23,Late,RS Astuti,RS Swasta,Jakarta Barat,"Gang PHH. Mustofa No. 40, Palembang, Sumatera Selatan 46313",NET 30,Active
DN240189,009689,RSS058,2024-12-04,Internal,2024-12-08,Received,RS Astuti,RS Swasta,Jakarta Barat,"Gang PHH. Mustofa No. 40, Palembang, Sumatera Selatan 46313",NET 30,Active
DN240190,009690,KLN046,2024-04-14,Third-Party Courier,2024-04-18,Received,Klinik Hariyah,Klinik,Jakarta Selatan,"Gg. Lembong No. 152, Kupang, Sumatera Utara 85684",NET 30,Active
DN240191,009691,RSP041,2024-09-10,Internal,2024-09-15,Received,RSUD Prakasa,RS Pemerintah,Jakarta Barat,"Jalan Gardujati No. 06, Cimahi, AC 32340",NET 45,Active
DN240192,009692,RSP041,2024-09-12,Internal,2024-09-14,Received,RSUD Prakasa,RS Pemerintah,Jakarta Barat,"Jalan Gardujati No. 06, Cimahi, AC 32340",NET 45,Active
DN240193,009693,RSS007,2024-06-03,Internal,,Pending,RS Hardiansyah,RS Swasta,Jakarta Barat,"Jalan Medokan Ayu No. 5, Bukittinggi, Kalimantan Utara 85097",NET 30,Active
DN240194,009694,RSS057,2024-09-18,Third-Party Courier,2024-09-28,Received,RS Wijaya,RS Swasta,Tangerang,"Jl. Ir. H. Djuanda No. 5, Kota Administrasi Jakarta Barat, JB 57378",NET 30,Active
DN240195,009695,RSS057,2024-09-19,Third-Party Courier,2024-10-29,Late,RS Wijaya,RS Swasta,Tangerang,"Jl. Ir. H. Djuanda No. 5, Kota Administrasi Jakarta Barat, JB 57378",NET 30,Active
DN240196,009696,RSS075,2024-02-27,Third-Party Courier,2024-03-06,Received,RS Nashiruddin,RS Swasta,Jakarta Barat,"Gg. Cempaka No. 127, Madiun, Jawa Tengah 36354",NET 30,Active
DN240197,009697,RSP008,2024-06-05,Internal,2024-06-11,Received,RSUD Hakim,RS Pemerintah,Jakarta Barat,"Gang K.H. Wahid Hasyim No. 8, Banda Aceh, Jawa Timur 33834",NET 45,Active
DN240198,009698,RSP008,2024-06-02,Internal,2024-06-04,Received,RSUD Hakim,RS Pemerintah,Jakarta Barat,"Gang K.H. Wahid Hasyim No. 8, Banda Aceh, Jawa Timur 33834",NET 45,Active
DN240199,009699,RSP049,2024-01-08,Internal,2024-01-17,Received,RSUD Gunarto,RS Pemerintah,Jakarta Selatan,"Gg. M.T Haryono No. 2, Bogor, Kalimantan Timur 11787",NET 45,Active
DN240200,009700,RSS044,2024-05-22,Internal,2024-05-24,Received,RS Permata,RS Swasta,Jakarta Selatan,"Jalan Peta No. 772, Kota Administrasi Jakarta Pusat, AC 05451",NET 30,Active
DN240201,009701,KLN062,2024-12-18,Internal,2024-12-28,Received,Klinik Napitupulu,Klinik,Jakarta Pusat,"Jalan Jend. Sudirman No. 67, Kota Administrasi Jakarta Utara, BB 33751",NET 30,Active
DN240202,009702,KLN058,2024-11-13,Internal,2024-11-21,Received,Klinik Safitri,Klinik,Tangerang,"Jl. Lembong No. 2, Pariaman, NT 25067",NET 30,Active
DN240203,009703,KLN058,2024-11-11,Third-Party Courier,,Pending,Klinik Safitri,Klinik,Tangerang,"Jl. Lembong No. 2, Pariaman, NT 25067",NET 30,Active
DN240204,009704,RSS046,2024-09-15,Third-Party Courier,2024-10-28,Late,RS Widiastuti,RS Swasta,Jakarta Utara,"Gang Kutai No. 31, Tarakan, Kalimantan Utara 15527",NET 30,Active
DN240205,009705,RSS046,2024-09-14,Internal,2024-09-19,Received,RS Widiastuti,RS Swasta,Jakarta Utara,"Gang Kutai No. 31, Tarakan, Kalimantan Utara 15527",NET 30,Active
DN240206,009706,RSP027,2024-01-05,Internal,2024-01-13,Received,RSUD Pangestu,RS Pemerintah,Jakarta Timur,"Gang Jayawijaya No. 28, Tebingtinggi, Maluku 87793",NET 45,Active
DN240207,009707,RSP027,2024-01-04,Internal,2024-01-07,Received,RSUD Pangestu,RS Pemerintah,Jakarta Timur,"Gang Jayawijaya No. 28, Tebingtinggi, Maluku 87793",NET 45,Active
DN240208,009708,KLN009,2024-08-19,Internal,2024-08-26,Received,Klinik Situmorang,Klinik,Bekasi,"Gang Peta No. 05, Kota Administrasi Jakarta Selatan, SN 17214",NET 30,Active
DN240209,009709,KLN051,2024-09-20,Internal,2024-09-30,Received,Klinik Wijaya,Klinik,Jakarta Barat,"Jl. Pasteur No. 60, Pasuruan, BT 17866",NET 30,Active
DN240210,009710,RSS049,2024-11-24,Internal,2024-12-04,Received,RS Januar,RS Swasta,Jakarta Timur,"Gg. Dr. Djunjunan No. 992, Dumai, YO 12053",NET 30,Active
DN240211,009711,RSS049,2024-11-21,Internal,,Pending,RS Januar,RS Swasta,Jakarta Timur,"Gg. Dr. Djunjunan No. 992, Dumai, YO 12053",NET 30,Active
DN240212,009712,RSS016,2024-01-30,Third-Party Courier,2024-02-09,Received,RS Natsir,RS Swasta,Tangerang,"Gg. W.R. Supratman No. 2, Surabaya, RI 30777",NET 30,Active
DN240213,009713,RSS016,2024-02-01,Internal,2024-02-09,Received,RS Natsir,RS Swasta,Tangerang,"Gg. W.R. Supratman No. 2, Surabaya, RI 30777",NET 30,Active
DN240214,009714,KLN055,2024-07-21,Third-Party Courier,2024-07-26,Received,Klinik Fujiati,Klinik,Bekasi,"Gg. KH Amin Jasuta No. 19, Palembang, NB 00845",NET 30,Active
DN240215,009715,RSS053,2024-06-03,Third-Party Courier,,Pending,RS Mahendra,RS Swasta,Jakarta Barat,"Gg. Peta No. 6, Kota Administrasi Jakarta Selatan, Kalimantan Barat 09600",NET 30,Active
DN240216,009716,RSS053,2024-06-03,Internal,2024-07-06,Late,RS Mahendra,RS Swasta,Jakarta Barat,"Gg. Peta No. 6, Kota Administrasi Jakarta Selatan, Kalimantan Barat 09600",NET 30,Active
DN240217,009717,RSP009,2024-09-11,Third-Party Courier,,Pending,RSUD Hutagalung,RS Pemerintah,Tangerang,"Gg. Sukajadi No. 47, Padang, Kepulauan Riau 64722",NET 45,Active
DN240218,009718,RSS060,2024-04-27,Internal,2024-05-02,Received,RS Simbolon,RS Swasta,Jakarta Utara,"Gang Dipenogoro No. 01, Solok, NT 59454",NET 30,Active
DN240219,009719,KLN023,2024-01-23,Internal,2024-01-30,Received,Klinik Wijayanti,Klinik,Jakarta Selatan,"Jalan Ronggowarsito No. 7, Sawahlunto, SN 92602",NET 30,Active
DN240220,009720,RSS029,2024-09-24,Third-Party Courier,2024-10-02,Received,RS Utama,RS Swasta,Bekasi,"Gg. Ciumbuleuit No. 52, Kendari, DKI Jakarta 34569",NET 30,Active
DN240221,009721,RSS067,2024-11-30,Internal,2024-12-06,Received,RS Simbolon,RS Swasta,Tangerang,"Gg. Siliwangi No. 920, Lubuklinggau, Nusa Tenggara Timur 55686",NET 30,Active
DN240222,009722,KLN028,2024-07-30,Internal,,Pending,Klinik Hutagalung,Klinik,Jakarta Pusat,"Jalan Cihampelas No. 73, Prabumulih, SN 12252",NET 30,Active
DN240223,009723,KLN068,2024-09-18,Internal,2024-09-24,Received,Klinik Safitri,Klinik,Jakarta Utara,"Gg. Pasteur No. 77, Denpasar, Sumatera Selatan 83826",NET 30,Active
DN240224,009724,KLN068,2024-09-17,Internal,2024-09-20,Received,Klinik Safitri,Klinik,Jakarta Utara,"Gg. Pasteur No. 77, Denpasar, Sumatera Selatan 83826",NET 30,Active
DN240225,009725,RSP015,2024-01-25,Third-Party Courier,2024-01-28,Received,RSUD Prakasa,RS Pemerintah,Tangerang,"Jl. Ciumbuleuit No. 82, Tomohon, SU 79733",NET 45,Active
DN240226,009726,KLN057,2024-04-03,Internal,2024-04-10,Received,Klinik Prakasa,Klinik,Jakarta Pusat,"Gg. Moch. Ramdan No. 30, Malang, MU 91208",NET 30,Active
DN240227,009727,RSS068,2024-07-04,Third-Party Courier,2024-07-11,Received,RS Natsir,RS Swasta,Depok,"Jalan Raya Ujungberung No. 545, Singkawang, NT 12169",NET 30,Active
DN240228,009728,RSP003,2024-06-12,Third-Party Courier,2024-06-15,Received,RSUD Marbun,RS Pemerintah,Bekasi,"Jl. Pasir Koja No. 7, Kota Administrasi Jakarta Selatan, Sulawesi Utara 97492",NET 45,Active
DN240229,009729,RSP003,2024-06-11,Third-Party Courier,2024-06-14,Received,RSUD Marbun,RS Pemerintah,Bekasi,"Jl. Pasir Koja No. 7, Kota Administrasi Jakarta Selatan, Sulawesi Utara 97492",NET 45,Active
DN240230,009730,RSS056,2024-02-13,Third-Party Courier,2024-02-17,Received,RS Manullang,RS Swasta,Bekasi,"Gg. Otto Iskandardinata No. 548, Ambon, Kalimantan Timur 55480",NET 30,Active
DN240231,009731,RSS039,2024-07-09,Third-Party Courier,2024-07-13,Received,RS Uyainah,RS Swasta,Bekasi,"Jalan Wonoayu No. 5, Probolinggo, Sulawesi Selatan 53015",NET 30,Active
DN240232,009732,RSS039,2024-07-10,Internal,2024-07-15,Received,RS Uyainah,RS Swasta,Bekasi,"Jalan Wonoayu No. 5, Probolinggo, Sulawesi Selatan 53015",NET 30,Active
DN240233,009733,KLN052,2024-01-24,Internal,2024-02-01,Received,Klinik Sihotang,Klinik,Jakarta Barat,"Gang Kapten Muslihat No. 199, Ternate, ST 41261",NET 30,Active
DN240234,009734,KLN052,2024-01-26,Third-Party Courier,2024-02-03,Received,Klinik Sihotang,Klinik,Jakarta Barat,"Gang Kapten Muslihat No. 199, Ternate, ST 41261",NET 30,Active
DN240235,009735,RSS048,2024-07-03,Internal,2024-07-08,Received,RS Sitorus,RS Swasta,Jakarta Barat,"Jalan Pasirkoja No. 42, Kendari, Banten 21343",NET 30,Active
DN240236,009736,RSS037,2024-01-24,Internal,2024-01-26,Received,RS Lailasari,RS Swasta,Jakarta Barat,"Gg. Kebonjati No. 5, Tasikmalaya, Kalimantan Selatan 99877",NET 30,Active
DN240237,009737,KLN071,2024-12-06,Third-Party Courier,2024-12-10,Received,Klinik Rahimah,Klinik,Tangerang,"Gang Medokan Ayu No. 4, Palu, KU 20673",NET 30,Active
DN240238,009738,KLN033,2024-12-20,Internal,2024-12-22,Received,Klinik Hutapea,Klinik,Jakarta Barat,"Gg. Tebet Barat Dalam No. 86, Pekalongan, AC 89184",NET 30,Active
DN240239,009739,KLN038,2024-10-04,Internal,2024-10-11,Received,Klinik Hutasoit,Klinik,Jakarta Timur,"Gang Sukabumi No. 25, Bau-Bau, BA 94114",NET 30,Active
DN240240,009740,KLN005,2024-01-27,Third-Party Courier,2024-02-15,Late,Klinik Kuswandari,Klinik,Bogor,"Jl. Jend. Sudirman No. 49, Tanjungpinang, KR 36878",NET 30,Active
DN240241,009741,RSP004,2024-05-27,Third-Party Courier,,Pending,RSUD Handayani,RS Pemerintah,Depok,"Gg. W.R. Supratman No. 24, Singkawang, JK 70185",NET 45,Active
DN240242,009742,KLN072,2024-08-10,Internal,2024-08-20,Received,Klinik Nashiruddin,Klinik,Jakarta Selatan,"Jalan Dipatiukur No. 1, Kota Administrasi Jakarta Timur, Sulawesi Utara 43637",NET 30,Active
DN240243,009743,KLN046,2024-09-09,Internal,2024-09-13,Received,Klinik Hariyah,Klinik,Jakarta Selatan,"Gg. Lembong No. 152, Kupang, Sumatera Utara 85684",NET 30,Active
DN240244,009744,KLN059,2024-07-21,Internal,2024-08-22,Late,Klinik Wahyudin,Klinik,Jakarta Timur,"Gang Siliwangi No. 97, Pekalongan, DKI Jakarta 67319",NET 30,Active
DN240245,009745,KLN059,2024-07-21,Internal,2024-07-26,Received,Klinik Wahyudin,Klinik,Jakarta Timur,"Gang Siliwangi No. 97, Pekalongan, DKI Jakarta 67319",NET 30,Active
DN240246,009746,RSS013,2024-12-05,Third-Party Courier,,Pending,RS Sinaga,RS Swasta,Jakarta Barat,"Jalan Cihampelas No. 82, Singkawang, KS 95594",NET 30,Active
DN240247,009747,RSS013,2024-12-04,Internal,2024-12-07,Received,RS Sinaga,RS Swasta,Jakarta Barat,"Jalan Cihampelas No. 82, Singkawang, KS 95594",NET 30,Active
DN240248,009748,RSS010,2024-04-02,Internal,2024-04-04,Received,RS Ardianto,RS Swasta,Jakarta Barat,"Gang M.H Thamrin No. 5, Sukabumi, SR 33778",NET 30,Active
DN240249,009749,RSS018,2024-09-08,Third-Party Courier,2024-09-18,Received,RS Ardianto,RS Swasta,Depok,"Gg. Jakarta No. 7, Kota Administrasi Jakarta Pusat, SB 99970",NET 30,Active
DN240250,009750,RSS018,2024-09-05,Internal,2024-09-11,Received,RS Ardianto,RS Swasta,Depok,"Gg. Jakarta No. 7, Kota Administrasi Jakarta Pusat, SB 99970",NET 30,Active
DN240251,009751,RSS082,2024-04-20,Third-Party Courier,2024-05-27,Late,RS Prasetya,RS Swasta,Jakarta Utara,"Gang Joyoboyo No. 8, Bandar Lampung, Sumatera Barat 39409",NET 30,Active
DN240252,009752,RSS082,2024-04-19,Internal,2024-04-29,Received,RS Prasetya,RS Swasta,Jakarta Utara,"Gang Joyoboyo No. 8, Bandar Lampung, Sumatera Barat 39409",NET 30,Active
DN240253,009753,KLN018,2024-05-25,Internal,2024-05-28,Received,Klinik Farida,Klinik,Jakarta Barat,"Jalan Ciumbuleuit No. 865, Samarinda, Jawa Barat 35513",NET 30,Active
DN240254,009754,KLN018,2024-05-25,Internal,2024-06-29,Late,Klinik Farida,Klinik,Jakarta Barat,"Jalan Ciumbuleuit No. 865, Samarinda, Jawa Barat 35513",NET 30,Active
DN240255,009755,KLN052,2024-07-07,Internal,2024-07-17,Received,Klinik Sihotang,Klinik,Jakarta Barat,"Gang Kapten Muslihat No. 199, Ternate, ST 41261",NET 30,Active
DN240256,009756,RSP045,2024-08-14,Third-Party Courier,,Pending,RSUD Waluyo,RS Pemerintah,Jakarta Timur,"Jl. M.T Haryono No. 62, Blitar, JA 27798",NET 45,Active
DN240257,009757,RSP045,2024-08-11,Third-Party Courier,,Pending,RSUD Waluyo,RS Pemerintah,Jakarta Timur,"Jl. M.T Haryono No. 62, Blitar, JA 27798",NET 45,Active
DN240258,009758,RSS072,2024-06-23,Third-Party Courier,2024-06-29,Received,RS Rahimah,RS Swasta,Tangerang,"Gg. Rajawali Timur No. 72, Tomohon, KT 70880",NET 30,Active
DN240259,009759,RSS072,2024-06-23,Third-Party Courier,2024-07-01,Received,RS Rahimah,RS Swasta,Tangerang,"Gg. Rajawali Timur No. 72, Tomohon, KT 70880",NET 30,Active
DN240260,009760,RSP039,2024-02-10,Third-Party Courier,2024-02-14,Received,RSUD Mandasari,RS Pemerintah,Bogor,"Gang Jend. A. Yani No. 20, Serang, Aceh 89847",NET 45,Active
DN240261,009761,RSP039,2024-02-09,Third-Party Courier,2024-02-17,Received,RSUD Mandasari,RS Pemerintah,Bogor,"Gang Jend. A. Yani No. 20, Serang, Aceh 89847",NET 45,Active
DN240262,009762,RSS045,2024-02-25,Internal,2024-02-29,Received,RS Waluyo,RS Swasta,Depok,"Jl. Moch. Toha No. 4, Sorong, YO 08961",NET 30,Active
DN240263,009763,RSS045,2024-02-26,Third-Party Courier,2024-03-07,Received,RS Waluyo,RS Swasta,Depok,"Jl. Moch. Toha No. 4, Sorong, YO 08961",NET 30,Active
DN240264,009764,RSS048,2024-05-22,Third-Party Courier,2024-05-29,Received,RS Sitorus,RS Swasta,Jakarta Barat,"Jalan Pasirkoja No. 42, Kendari, Banten 21343",NET 30,Active
DN240265,009765,RSP053,2024-08-02,Internal,2024-08-08,Received,RSUD Simbolon,RS Pemerintah,Jakarta Utara,"Jalan Indragiri No. 826, Kupang, BA 42657",NET 45,Active
DN240266,009766,RSP053,2024-08-03,Third-Party Courier,2024-08-08,Received,RSUD Simbolon,RS Pemerintah,Jakarta Utara,"Jalan Indragiri No. 826, Kupang, BA 42657",NET 45,Active
DN240267,009767,RSP008,2024-03-26,Internal,2024-04-04,Received,RSUD Hakim,RS Pemerintah,Jakarta Barat,"Gang K.H. Wahid Hasyim No. 8, Banda Aceh, Jawa Timur 33834",NET 45,Active
DN240268,009768,RSP008,2024-03-27,Internal,2024-04-11,Late,RSUD Hakim,RS Pemerintah,Jakarta Barat,"Gang K.H. Wahid Hasyim No. 8, Banda Aceh, Jawa Timur 33834",NET 45,Active
DN240269,009769,KLN030,2024-04-07,Third-Party Courier,2024-04-09,Received,Klinik Laksita,Klinik,Jakarta Selatan,"Gang Suryakencana No. 17, Prabumulih, JT 35347",NET 30,Active
DN240270,009770,KLN030,2024-04-08,Internal,2024-04-13,Received,Klinik Laksita,Klinik,Jakarta Selatan,"Gang Suryakencana No. 17, Prabumulih, JT 35347",NET 30,Active
DN240271,009771,KLN021,2025-01-04,Internal,2025-01-25,Late,Klinik Sinaga,Klinik,Jakarta Barat,"Gang Peta No. 7, Surakarta, Sumatera Utara 88637",NET 30,Active
DN240272,009772,KLN021,2025-01-02,Third-Party Courier,2025-01-05,Received,Klinik Sinaga,Klinik,Jakarta Barat,"Gang Peta No. 7, Surakarta, Sumatera Utara 88637",NET 30,Active
DN240273,009773,KLN059,2024-05-04,Third-Party Courier,2024-05-08,Received,Klinik Wahyudin,Klinik,Jakarta Timur,"Gang Siliwangi No. 97, Pekalongan, DKI Jakarta 67319",NET 30,Active
DN240274,009774,RSS024,2024-07-11,Third-Party Courier,2024-07-16,Received,RS Tampubolon,RS Swasta,Jakarta Pusat,"Jl. Monginsidi No. 04, Bekasi, Sulawesi Barat 05515",NET 30,Active
DN240275,009775,RSS024,2024-07-10,Internal,2024-07-16,Received,RS Tampubolon,RS Swasta,Jakarta Pusat,"Jl. Monginsidi No. 04, Bekasi, Sulawesi Barat 05515",NET 30,Active
